CPT,Total_Amount,Probability
J8540,0.0,0.5
J8540,1172.17,0.5
00912K,0.0,1.0
74010,0.0,0.6428571428571429
74010,361.6,0.35714285714285715
27370,35.49,1.0
A4595Rx,0.0,0.8571428571428571
A4595Rx,45.11,0.14285714285714285
U511,0.0,0.5925925925925926
U511,585.68,0.18518518518518517
U511,1.0,0.037037037037037035
U511,145.87,0.18518518518518517
U510,1163.22,0.0038022813688212928
U510,10.0,0.022813688212927757
U510,343.2,0.015209125475285171
U510,0.0,0.7870722433460076
U510,40.0,0.015209125475285171
U510,215.29,0.015209125475285171
U510,993.76,0.011406844106463879
U510,79.8,0.011406844106463879
U510,49.27,0.0038022813688212928
U510,167.68,0.0038022813688212928
U510,764.93,0.011406844106463879
U510,623.86,0.0038022813688212928
U510,37.0,0.07984790874524715
U510,87.11,0.0038022813688212928
U510,13.3,0.0076045627376425855
U510,354.6,0.0038022813688212928
97150,61.94,0.05131128848346636
97150,0.0,0.3557582668187001
97150,62.01,0.011402508551881414
97150,26.44,0.020524515393386546
97150,-11.63,0.010262257696693273
97150,58.19,0.07183580387685291
97150,32.78,0.15393386545039908
97150,59.94,0.23603192702394526
97150,29.1,0.010262257696693273
97150,11.63,0.04104903078677309
97150,53.0,0.0068415051311288486
97150,11.98,0.010262257696693273
97150,76.94,0.020524515393386546
U515,0.0,1.0
U514,0.0,1.0
U516,0.0,0.6666666666666666
U516,25.0,0.3333333333333333
99999,758.35,0.005494505494505495
99999,446.11,0.0027472527472527475
99999,767.06,0.005494505494505495
99999,324.23,0.005494505494505495
99999,210.09,0.006868131868131868
99999,0.0,0.4945054945054945
99999,112.8,0.04532967032967033
99999,776.57,0.004120879120879121
99999,226.54,0.005494505494505495
99999,659.91,0.008241758241758242
99999,270.25,0.006868131868131868
99999,2405.13,0.013736263736263736
99999,418.61,0.01098901098901099
99999,136.94,0.012362637362637362
99999,1303.26,0.006868131868131868
99999,492.77,0.0027472527472527475
99999,297.51,0.01098901098901099
99999,1581.74,0.01098901098901099
99999,1000.0,0.024725274725274724
99999,621.37,0.005494505494505495
99999,623.08,0.006868131868131868
99999,240.2,0.004120879120879121
99999,1609.6,0.005494505494505495
99999,2591.6,0.008241758241758242
99999,715.28,0.0027472527472527475
