Previous,Current,HighestNext,CurrentProb,HighestProb,IsSame
START_STATE,Under30_CA163,Under30_MI227,0.0005429512919239981,0.041521238866685295,False
Under30_CA163,Under30_CA163,END_STATE,0.23992133726647,0.5585054080629301,False
START_STATE,Under60_PA241,Under30_MI227,2.5318972162258976e-05,0.041521238866685295,False
START_STATE,Under30_PA226,Under30_MI227,0.001136540528172514,0.041521238866685295,False
START_STATE,Under30_PA220,Under30_MI227,0.0008617827932265185,0.041521238866685295,False
Under30_PA220,Under30_PA237,END_STATE,0.009852216748768473,0.7331691297208539,False
START_STATE,Under60_UT235,Under30_MI227,0.0007651956031260491,0.041521238866685295,False
START_STATE,Under30_UT241,Under30_MI227,0.0003169560218830939,0.041521238866685295,False
START_STATE,Under30_UT241,Under30_MI227,0.0003169560218830939,0.041521238866685295,False
Under30_UT241,Under30_UT241,END_STATE,0.3464991023339318,0.5421903052064632,False
START_STATE,Under30_UT179,Under30_MI227,0.0001462873947152741,0.041521238866685295,False
START_STATE,Under30_UT237,Under30_MI227,0.0002072404758466383,0.041521238866685295,False
START_STATE,Under30_MN228,Under30_MI227,0.0009705605995532607,0.041521238866685295,False
Under30_MN228,Under30_MN227,END_STATE,0.03982576228998133,0.6453018046048538,False
START_STATE,Under30_PA228,Under30_MI227,0.002853541936657558,0.041521238866685295,False
START_STATE,Under60_MI227,Under30_MI227,0.03701539956151291,0.041521238866685295,False
START_STATE,Under60_UT213,Under30_MI227,0.003202381108670904,0.041521238866685295,False
START_STATE,Under30_CT218,Under30_MI227,0.0007183086176403843,0.041521238866685295,False
Under30_CT218,Under30_CT218,END_STATE,0.3821656050955414,0.60828025477707,False
Under30_CT218,Under30_CT218,END_STATE,0.3821656050955414,0.60828025477707,False
START_STATE,Under30_CT227,Under30_MI227,0.004371742526683383,0.041521238866685295,False
START_STATE,Under60_CT226,Under30_MI227,0.00011252876516559545,0.041521238866685295,False
START_STATE,Under60_CT227,Under30_MI227,0.0030260860432448043,0.041521238866685295,False
START_STATE,Under30_UT243,Under30_MI227,0.0019823817463339066,0.041521238866685295,False
START_STATE,Under60_UT240,Under30_MI227,0.0008645960123556584,0.041521238866685295,False
Under60_UT240,Under60_UT231,END_STATE,0.10199714693295292,0.6683309557774608,False
Under60_UT231,Under60_UT179,END_STATE,0.0003824091778202677,0.5996175908221797,False
Under60_UT179,Under60_UT234,END_STATE,0.007692307692307693,0.8538461538461538,False
START_STATE,Under60_UT227,Under30_MI227,0.010178226809228108,0.041521238866685295,False
START_STATE,Over60_UT206,Under30_MI227,0.0002025517772980718,0.041521238866685295,False
START_STATE,Under60_UT234,Under30_MI227,0.0008824130668402111,0.041521238866685295,False
START_STATE,Under30_UT218,Under30_MI227,0.0006517290982507403,0.041521238866685295,False
START_STATE,Under60_MI227,Under30_MI227,0.03701539956151291,0.041521238866685295,False
START_STATE,Under60_UT227,Under30_MI227,0.010178226809228108,0.041521238866685295,False
START_STATE,Under60_UT218,Under30_MI227,0.00040416581488643036,0.041521238866685295,False
START_STATE,Under30_UT203,Under30_MI227,4.313602664681159e-05,0.041521238866685295,False
START_STATE,Under30_UT206,Under30_MI227,0.00230496420647528,0.041521238866685295,False
Under30_UT206,Under30_UT206,END_STATE,0.13622795115332428,0.6382632293080054,False
Under30_UT206,Under30_UT206,END_STATE,0.13622795115332428,0.6382632293080054,False
Under30_UT206,Under30_UT206,END_STATE,0.13622795115332428,0.6382632293080054,False
Under30_UT206,Under30_UT233,END_STATE,0.03744911804613297,0.6382632293080054,False
START_STATE,Under30_UT227,Under30_MI227,0.014486203035650989,0.041521238866685295,False
START_STATE,Under60_UT233,Under30_MI227,0.0035559089792328163,0.041521238866685295,False
Under60_UT233,Under60_UT200,END_STATE,0.0064944649446494465,0.547749077490775,False
Under60_UT200,Under60_UT234,END_STATE,0.009930486593843098,0.7666335650446872,False
START_STATE,Under60_NJ227,Under30_MI227,0.0009752492981018273,0.041521238866685295,False
START_STATE,Over60_TX240,Under30_MI227,5.345116345365784e-05,0.041521238866685295,False
Over60_TX240,Over60_TX231,END_STATE,0.4375,0.4875,False
START_STATE,Under30_FL213,Under30_MI227,0.0012546957315963893,0.041521238866685295,False
START_STATE,Under30_FL163,Under30_MI227,0.0005073171829548928,0.041521238866685295,False
Under30_FL163,Under30_FL213,END_STATE,0.09777227722772278,0.6782178217821783,False
Under30_FL213,Under30_FL213,END_STATE,0.21278882321332618,0.7001612036539495,False
Under30_FL213,Under30_FL163,END_STATE,0.04997313272434175,0.7001612036539495,False
START_STATE,Under60_MI227,Under30_MI227,0.03701539956151291,0.041521238866685295,False
START_STATE,Over60_FL177,Under30_MI227,2.8132191291398865e-06,0.041521238866685295,False
