From_CPT,To_CPT,Probability
52000,J3301,0.07142857142857142
52000,92015,0.07142857142857142
52000,00910,0.07142857142857142
52000,78014,0.07142857142857142
52000,90460,0.07142857142857142
52000,88112,0.07142857142857142
7025F,G0202,0.6666666666666666
7025F,77052,0.16666666666666666
7025F,3342F,0.16666666666666666
52005,97124,1.0
270,312,0.25
270,302,0.25
270,306,0.25
270,301,0.25
80000Rx,99213,0.018018018018018018
80000Rx,99214,0.036036036036036036
80000Rx,99232,0.009009009009009009
80000Rx,80000Rx,0.6576576576576577
80000Rx,E0601R,0.018018018018018018
80000Rx,99393,0.009009009009009009
80000Rx,END_STATE,0.018018018018018018
80000Rx,94690,0.009009009009009009
80000Rx,91000,0.009009009009009009
80000Rx,93306,0.009009009009009009
80000Rx,81002,0.009009009009009009
80000Rx,93016,0.009009009009009009
80000Rx,81025,0.009009009009009009
80000Rx,90471,0.018018018018018018
80000Rx,80000,0.07207207207207207
80000Rx,99050,0.009009009009009009
80000Rx,99204,0.009009009009009009
80000Rx,MISC,0.018018018018018018
80000Rx,99385,0.009009009009009009
80000Rx,D0274,0.009009009009009009
80000Rx,992450,0.009009009009009009
80000Rx,70000,0.009009009009009009
80000Rx,92136,0.009009009009009009
80000Rx,G02028,0.009009009009009009
272,70490,0.5
272,360,0.5
9939625,90715,0.5
9939625,Q0091,0.5
D2930,D1208,0.034482758620689655
D2930,D0120,0.034482758620689655
D2930,D3220,0.10344827586206896
D2930,D2150,0.06896551724137931
D2930,D2330,0.034482758620689655
D2930,D2392,0.034482758620689655
D2930,D1120,0.034482758620689655
D2930,D0230,0.034482758620689655
D2930,D7140,0.1724137931034483
D2930,END_STATE,0.06896551724137931
D2930,D2930,0.3448275862068966
D2930,D1351,0.034482758620689655
D5214,D5213,1.0
99235Rx,99235Rx,0.5
99235Rx,80061,0.5
85730Rx,20225,1.0
20610Rx,98941,0.11764705882352941
20610Rx,20610Rx,0.6470588235294118
20610Rx,20610,0.11764705882352941
20610Rx,99214,0.11764705882352941
12011,99282,0.4
12011,12011Rx,0.2
12011,S9088,0.4
42820Rx,42820Rx,0.8333333333333334
42820Rx,99214,0.16666666666666666
E0143Rx,99213,0.0625
E0143Rx,E0143Rx,0.875
E0143Rx,36415,0.0625
82533,99213,0.5
82533,36415,0.5
L3650,Y4900,0.3333333333333333
L3650,00450,0.3333333333333333
L3650,73000,0.3333333333333333
82530,84234,0.2
82530,82530,0.2
82530,82627,0.2
82530,82626,0.2
82530,99214,0.2
17250,E0660,1.0
93325,99213,0.15384615384615385
93325,99214,0.15384615384615385
93325,Y3200,0.07692307692307693
93325,93315,0.07692307692307693
93325,99394,0.07692307692307693
93325,93303,0.15384615384615385
93325,93320,0.07692307692307693
93325,93321,0.15384615384615385
93325,92960,0.07692307692307693
93320,93005,0.1
93320,93325,0.5
93320,84443,0.1
93320,01922,0.1
93320,93303,0.2
93321,93005,0.3333333333333333
93321,93325,0.3333333333333333
93321,93308,0.3333333333333333
A7037N,E0562N,0.14285714285714285
A7037N,99213,0.2857142857142857
A7037N,A7039N,0.14285714285714285
A7037N,A7030N,0.42857142857142855
99201,99212,0.027777777777777776
99201,99213,0.08333333333333333
99201,10060,0.027777777777777776
99201,88321,0.027777777777777776
99201,99214,0.05555555555555555
99201,11301,0.027777777777777776
99201,17000,0.027777777777777776
99201,88305,0.027777777777777776
99201,73550,0.027777777777777776
99201,99201Rx,0.19444444444444445
99201,J3301,0.027777777777777776
99201,320,0.027777777777777776
99201,73721,0.027777777777777776
99201,11423,0.027777777777777776
99201,93015,0.027777777777777776
99201,84156,0.027777777777777776
99201,99203,0.05555555555555555
99201,99202,0.027777777777777776
99201,99205,0.027777777777777776
99201,S9088,0.027777777777777776
99201,99243,0.027777777777777776
99201,92060,0.027777777777777776
99201,98941,0.027777777777777776
99201,72020,0.027777777777777776
99201,G0008,0.027777777777777776
99201,97110GP,0.027777777777777776
D8080,D1208,0.09090909090909091
D8080,D0120,0.18181818181818182
D8080,D8080Rx,0.18181818181818182
D8080,D7140,0.09090909090909091
D8080,END_STATE,0.18181818181818182
D8080,D0272,0.09090909090909091
D8080,D4341,0.09090909090909091
D8080,D1110,0.09090909090909091
99203,E0118,0.001841620626151013
99203,72148,0.001841620626151013
99203,76882,0.001841620626151013
99203,G0202,0.003683241252302026
99203,73650,0.001841620626151013
99203,99396,0.007366482504604052
99203,99395,0.003683241252302026
99203,99394,0.001841620626151013
99203,99393,0.001841620626151013
99203,99392,0.003683241252302026
99203,11300,0.001841620626151013
99203,92551,0.001841620626151013
99203,92557,0.0055248618784530384
99203,Y4210,0.009208103130755065
99203,96372,0.001841620626151013
99203,98941,0.01841620626151013
99203,98940,0.009208103130755065
99203,98943,0.001841620626151013
99203,98942,0.001841620626151013
99203,87804,0.011049723756906077
99203,94760,0.003683241252302026
99203,87880,0.014732965009208104
99203,73721,0.001841620626151013
99203,81002,0.003683241252302026
99203,81003,0.01289134438305709
99203,92012,0.001841620626151013
99203,72131,0.001841620626151013
99203,82607,0.001841620626151013
99203,93010,0.001841620626151013
99203,73080,0.001841620626151013
99203,97012,0.001841620626151013
99203,OPS,0.001841620626151013
99203,99384,0.001841620626151013
99203,E0114,0.001841620626151013
99203,30901,0.001841620626151013
99203,E0673N,0.001841620626151013
99203,96150,0.001841620626151013
99203,9753059,0.001841620626151013
99203,97010,0.003683241252302026
99203,97014,0.007366482504604052
99203,992430,0.001841620626151013
99203,L3808,0.001841620626151013
99203,90834,0.001841620626151013
99203,11100,0.0055248618784530384
99203,58301,0.001841620626151013
99203,92081,0.001841620626151013
99203,11900,0.001841620626151013
99203,Y3610,0.001841620626151013
99203,G0283,0.001841620626151013
99203,92310,0.001841620626151013
99203,97535,0.001841620626151013
99203,20610,0.0055248618784530384
99203,97530,0.001841620626151013
99203,73564,0.003683241252302026
99203,73565,0.001841620626151013
99203,84443,0.003683241252302026
99203,73560,0.003683241252302026
99203,73562,0.001841620626151013
99203,Y3060,0.001841620626151013
99203,END_STATE,0.0055248618784530384
99203,17000,0.001841620626151013
99203,88304,0.003683241252302026
99203,88305,0.01289134438305709
99203,G0268,0.001841620626151013
99203,S9088,0.040515653775322284
99203,97140,0.001841620626151013
99203,87389,0.001841620626151013
99203,12011,0.001841620626151013
99203,92004,0.001841620626151013
99203,12013,0.001841620626151013
99203,Y3000,0.0055248618784530384
99203,J3301,0.007366482504604052
99203,73140,0.003683241252302026
99203,301,0.001841620626151013
99203,81025,0.0055248618784530384
99203,96413,0.001841620626151013
99203,72010,0.003683241252302026
99203,99201,0.001841620626151013
99203,99051,0.007366482504604052
99203,99203,0.02394106813996317
99203,99202,0.011049723756906077
99203,99204,0.0055248618784530384
99203,73510,0.001841620626151013
99203,76856,0.001841620626151013
99203,73620,0.009208103130755065
99203,42820,0.001841620626151013
99203,86038,0.001841620626151013
99203,80053,0.003683241252302026
99203,80050,0.001841620626151013
99203,85025,0.001841620626151013
99203,92134,0.001841620626151013
99203,11750,0.001841620626151013
99203,99203Rx,0.23756906077348067
99203,92507,0.001841620626151013
99203,92506,0.001841620626151013
99203,27654,0.001841620626151013
99203,L3908,0.003683241252302026
99203,G8427,0.0055248618784530384
99203,41899,0.001841620626151013
99203,L3000,0.003683241252302026
99203,90715,0.0055248618784530384
99203,Y4300,0.001841620626151013
99203,51741,0.001841620626151013
99203,99212,0.009208103130755065
99203,99213,0.04604051565377532
99203,99211,0.003683241252302026
99203,99214,0.016574585635359115
99203,99215,0.001841620626151013
99203,73110,0.003683241252302026
99203,87086,0.001841620626151013
99203,90806,0.003683241252302026
99203,L1810,0.001841620626151013
